"","film","revenue","budget","language","popularity","vote.average","vote.count","id","tagline","release.date","genre","certification","genre_txt","year","lustrum","decade","log_budget","log_rev"
"135","The Poseidon Adventure","84563118","5,00E+06","en",9794,7.2,460,"551","Who will survive-in one of the greatest escape adventures ever!","13/12/1972",28,"PG","Action",1972,"70-74","70-79",2.30102999566398,3.16106838547117
"136","Avanti!","0","0","en",6.45,7,103,"12530","When someone knocks on your door and says permesso?...be careful before you say Avanti!","17/12/1972",35,"R","Comedy",1972,"70-74","70-79",0.301029995663981,0.301029995663981
"137","Cries and Whispers","0","4,00E+05","sv",7828,8,291,"10238",NA,"21/12/1972",18,NA,"Drama",1972,"70-74","70-79",2.2405492482826,0.301029995663981
"138","The Adventures of Pinocchio","0","0","it",5578,7.5,171,"58451",NA,"21/12/1972",18,"PG","Drama",1972,"70-74","70-79",0.301029995663981,0.301029995663981
"139","All the Way Boys","0","0","it",6.32,6.7,201,"1721",NA,"22/12/1972",28,NA,"Action",1972,"70-74","70-79",0.301029995663981,0.301029995663981
"140","Aguirre, the Wrath of God","0","92000","de",7468,7.6,511,"2000","A breathtaking journey into the heart of darkness","29/12/1972",12,NA,"Adventure",1972,"70-74","70-79",2.45788189673399,0.301029995663981
"141","Charlotte's Web","5232000","0","en",9216,6.6,203,"15171","That humble radiant terrific book is now a humble radiant terrific movie.","1/03/1973",16,"G","Animation",1973,"70-74","70-79",0.301029995663981,3.05766610390983
"142","The Long Goodbye","959000","1700000","en",6894,7.5,264,"1847","Nothing says goodbye like a bullet…","7/03/1973",53,"R","Thriller",1973,"70-74","70-79",1.93449845124357,3.18440748541232
"143","Malicious","0","0","it",8022,6.3,54,"44741",NA,"29/03/1973",35,NA,"Comedy",1973,"70-74","70-79",0.301029995663981,0.301029995663981
"144","High Plains Drifter","15700000","5500000","en",9599,7.5,539,"11901","Welcome to Hell","19/04/1973",37,"R","Western",1973,"70-74","70-79",2.33243845991561,2.49276038902684
"145","Soylent Green","3600000","0","en",9064,6.9,583,"12101","What is the secret of Soylent Green?","19/04/1973",878,"PG","Science Fiction",1973,"70-74","70-79",0.301029995663981,2.94645226501307
"146","The Holy Mountain","0","0","es",7104,7.9,398,"8327",NA,"1/05/1973",18,NA,"Drama",1973,"70-74","70-79",0.301029995663981,0.301029995663981
"147","Thriller: A Cruel Picture","0","0","sv",6716,6.6,96,"15018","The movie that has no limits of evil!","1/05/1973",27,"R","Horror",1973,"70-74","70-79",0.301029995663981,0.301029995663981
"148","Paper Moon","30900000","2500000","en",6226,7.9,327,"11293","These aren't everyday people and this is no ordinary movie.","9/05/1973",35,"PG","Comedy",1973,"70-74","70-79",2.12710479836481,2.88366143515362
"149","The Day of the Jackal","0","0","en",7577,7.6,263,"4909","Nameless, faceless... relentlessly moving towards the date with death that would rock the world.","15/05/1973",28,"PG","Action",1973,"70-74","70-79",0.301029995663981,0.301029995663981
"150","Pat Garrett & Billy the Kid","1.1e+07","4638783","en",7453,7.2,164,"11577","Best of enemies. Deadliest of friends.","23/05/1973",37,NA,"Western",1973,"70-74","70-79",2.28780172993023,0.903089986991944
"151","Day for Night","17808","0","fr",6836,7.9,266,"1675","A movie for people who love movies","24/05/1973",35,NA,"Comedy",1973,"70-74","70-79",0.301029995663981,2.57863920996807
